,Date,effr,Actual,Forecast,Corrected,Previous_Diff,Released,ST,effr_t-1
0,01-05-2007,4.98,167000,115000,132000,,,52000,
1,02-02-2007,5.03,111000,146000,206000,-39000,167000,-35000,4.98
2,03-09-2007,4.94,97000,100000,146000,-35000,111000,-3000,5.03
3,04-06-2007,4.87,180000,135000,113000,-16000,97000,45000,4.94
4,05-04-2007,4.73,88000,107000,177000,3000,180000,-19000,4.87
5,06-01-2007,4.61,157000,135000,80000,8000,88000,22000,4.73
6,07-06-2007,4.82,132000,125000,190000,-33000,157000,7000,4.61
7,08-03-2007,4.2,92000,135000,126000,6000,132000,-43000,4.82
8,09-07-2007,3.89,-4000,110000,68000,24000,92000,-114000,4.2
9,10-05-2007,3.9,110000,100000,89000,-93000,-4000,10000,3.89
10,11-02-2007,3.27,166000,82000,96000,14000,110000,84000,3.9
11,12-07-2007,3,94000,75000,170000,-4000,166000,19000,3.27
12,01-04-2008,2.75,18000,70000,115000,-21000,94000,-52000,3
13,02-01-2008,2.12,-17000,65000,82000,-64000,18000,-82000,2.75
14,03-07-2008,1.26,-63000,25000,-22000,5000,-17000,-88000,2.12
15,04-04-2008,1.29,-80000,-50000,-76000,13000,-63000,-30000,1.26
16,05-02-2008,1.73,-20000,-80000,-81000,1000,-80000,60000,1.29
17,06-06-2008,1.86,-49000,-57000,-28000,8000,-20000,8000,1.73
18,07-03-2008,1.63,-62000,-60000,-62000,13000,-49000,-2000,1.86
19,08-01-2008,1.72,-51000,-75000,-51000,-11000,-62000,24000,1.63
20,09-05-2008,1.13,-84000,-73000,-60000,9000,-51000,-11000,1.72
21,10-03-2008,0.67,-159000,-100000,-73000,-11000,-84000,-59000,1.13
22,11-07-2008,0.19,-240000,-200000,-284000,125000,-159000,-40000,0.67
23,12-05-2008,0.03,-533000,-320000,-320000,80000,-240000,-213000,0.19
24,01-09-2009,0.13,-524000,-520000,-584000,51000,-533000,-4000,0.03
25,02-06-2009,0.3,-598000,-530000,-577000,53000,-524000,-68000,0.13
26,03-06-2009,0.21,-651000,-647000,-655000,57000,-598000,-4000,0.3
27,04-03-2009,0.16,-663000,-659000,-651000,0,-651000,-4000,0.21
28,05-08-2009,0.18,-539000,-590000,-699000,36000,-663000,51000,0.16
29,06-05-2009,0.18,-345000,-520000,-504000,-35000,-539000,175000,0.18
30,07-02-2009,0.18,-467000,-360000,-322000,-23000,-345000,-107000,0.18
31,08-07-2009,0.17,-247000,-320000,-443000,-24000,-467000,73000,0.18
32,09-04-2009,0.12,-216000,-223000,-276000,29000,-247000,7000,0.17
33,10-02-2009,0.07,-263000,-179000,-201000,-15000,-216000,-84000,0.12
34,11-06-2009,0.05,-190000,-173000,-219000,-44000,-263000,-17000,0.07
35,12-04-2009,0.05,-11000,-119000,-111000,-79000,-190000,108000,0.05
36,01-08-2010,0.06,-85000,-3000,4000,-15000,-11000,-82000,0.05
37,02-05-2010,0.11,-20000,10000,-150000,65000,-85000,-30000,0.06
38,03-05-2010,0.15,-36000,-56000,-26000,6000,-20000,20000,0.11
39,04-02-2010,0.16,162000,185000,-14000,-22000,-36000,-23000,0.15
40,05-07-2010,0.16,290000,198000,230000,-68000,162000,92000,0.16
41,06-04-2010,0.12,431000,521000,290000,0,290000,-90000,0.16
42,07-02-2010,0.16,-125000,-106000,433000,-2000,431000,-19000,0.12
43,08-06-2010,0.16,-131000,-63000,-221000,96000,-125000,-68000,0.16
44,09-03-2010,0.15,-54000,-101000,-54000,-77000,-131000,47000,0.16
45,10-08-2010,0.13,-95000,1000,-57000,3000,-54000,-96000,0.15
46,11-05-2010,0.14,151000,63000,-41000,-54000,-95000,88000,0.13
47,12-03-2010,0.14,39000,143000,172000,-21000,151000,-104000,0.14
48,01-07-2011,0.15,103000,159000,71000,-32000,39000,-56000,0.14
49,02-04-2011,0.13,36000,138000,121000,-18000,103000,-102000,0.15
50,03-04-2011,0.1,192000,191000,63000,-27000,36000,1000,0.13
51,04-01-2011,0.06,216000,191000,194000,-2000,192000,25000,0.1
52,05-06-2011,0.04,244000,185000,221000,-5000,216000,59000,0.06
53,06-03-2011,0.04,54000,161000,232000,12000,244000,-107000,0.04
54,07-08-2011,0.04,18000,97000,25000,29000,54000,-79000,0.04
55,08-05-2011,0.02,117000,89000,46000,-28000,18000,28000,0.04
56,09-02-2011,0.01,0,74000,85000,32000,117000,-74000,0.02
57,10-07-2011,0.02,103000,55000,57000,-57000,0,48000,0.01
58,11-04-2011,0.01,80000,97000,158000,-55000,103000,-17000,0.02
59,12-02-2011,0.01,120000,126000,100000,-20000,80000,-6000,0.01
60,01-06-2012,0.03,200000,152000,100000,20000,120000,48000,0.01
61,02-03-2012,0.09,243000,150000,203000,-3000,200000,93000,0.03
62,03-09-2012,0.08,227000,209000,284000,-41000,243000,18000,0.09
63,04-06-2012,0.08,120000,207000,240000,-13000,227000,-87000,0.08
64,05-04-2012,0.09,115000,173000,154000,-34000,120000,-58000,0.08
65,06-01-2012,0.09,69000,151000,77000,38000,115000,-82000,0.09
66,07-06-2012,0.1,80000,97000,77000,-8000,69000,-17000,0.09
67,08-03-2012,0.1,163000,101000,64000,16000,80000,62000,0.1
68,09-07-2012,0.11,96000,123000,141000,22000,163000,-27000,0.1
69,10-05-2012,0.1,114000,114000,142000,-46000,96000,0,0.11
70,11-02-2012,0.09,171000,123000,148000,-34000,114000,48000,0.1
71,12-07-2012,0.07,146000,89000,138000,33000,171000,57000,0.09
72,01-04-2013,0.07,155000,150000,161000,-15000,146000,5000,0.07
73,02-01-2013,0.1,157000,161000,196000,-41000,155000,-4000,0.07
74,03-08-2013,0.09,236000,162000,119000,38000,157000,74000,0.1
75,04-05-2013,0.06,88000,198000,268000,-32000,236000,-110000,0.09
76,05-03-2013,0.04,165000,146000,138000,-50000,88000,19000,0.06
77,06-07-2013,0.05,175000,167000,149000,16000,165000,8000,0.04
78,07-05-2013,0.04,195000,163000,195000,-20000,175000,32000,0.05
79,08-02-2013,0.04,162000,184000,188000,7000,195000,-22000,0.04
80,09-06-2013,0.02,169000,178000,104000,58000,162000,-9000,0.04
81,11-08-2013,0.07,204000,121000,163000,6000,169000,83000,0.02
82,12-06-2013,0.07,203000,180000,200000,4000,204000,23000,0.07
83,01-10-2014,0.04,74000,196000,241000,-38000,203000,-122000,0.07
84,02-07-2014,0.05,113000,185000,75000,-1000,74000,-72000,0.04
85,03-07-2014,0.05,175000,151000,129000,-16000,113000,24000,0.05
86,04-04-2014,0.03,192000,199000,197000,-22000,175000,-7000,0.05
87,05-02-2014,0.03,288000,216000,203000,-11000,192000,72000,0.03
